C店代码,开店时间,,当月B店铺天数,当月有消保天数,当月有旺铺天数,当月有淘客天数,当月有P4P天数,当月在线商品数之和,当月有记录天数,J/K近似平均商品,当月最后一天店铺状态,主营类目ID,主营类目名称,当月最后一天在线商品数,省份ID,省份名称,城市ID,城市名称,区县ID,区县名称,行政辖区ID,行政辖区,城市等级,ipv_pv,Ln(pv),ipv_uv,Ln(uv),sales,Ln(交易额),笔数,Ln(笔数),买家数,全部网店人员,合并-主营,主营店人员,共用人员,主营店营业额,主营店人员数,店主/合伙人人数,雇佣员工人数,帮工人数,店主/合伙人_工作时间,雇佣员工工作时长,帮工工作时长,平均月工资,开店之前的工作,其他,职业状态,职业状态_其他,是否最主要收入来源,性别,婚姻状况,年龄,学历,最常所在地,户口,旺旺uid,旺旺子账号数量,当月有登陆旺旺子账号数量,卖家星级ID,卖家星级名称
c06134,40103,,0,30,30,0,0,2470,30,82.33333333,0,50004958,移动/联通/电信充值中心,75,330000,浙江省,330100,杭州市,330104,江干区,100650,杭州市区,2,12,2.48490665,9,2.197224577,1094.3,6.997870168,11,2.397895273,11,,1,,,,1,1,,,40,,,,在政府部门或事业单位工作,,在政府部门或事业单位工作,,不是主要收入来源,女,已婚,26-30岁,大学本科,省会城市市区,非农业户口,137989437,\N,0,4,4星级
c06135,41171,,0,0,30,0,0,60,30,2,0,50011665,网游装备/游戏币/帐号/代练,2,370000,山东省,370100,济南市,370112,历城区,100841,济南市区,2,13,2.564949357,5,1.609437912,2462.5,7.808932373,3,1.098612289,3,,1,,,,1,1,,,35,,,,上学,,受雇于企业（包括个体户）,,不是主要收入来源,女,未婚,26-30岁,大学本科,省会城市市区,非农业户口,368515322,\N,0,-1,信用得分=0
c06136,38541,,0,30,30,0,0,3531,30,117.7,0,25,玩具/模型/动漫/早教/益智,120,440000,广东省,440300,深圳市,440306,宝安区,101591,深圳市区,1,1654,7.410951876,889,6.790097236,30935.29,10.33965288,145,4.976733742,91,,2,,,,2,2,,1,35,,10,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,31-35岁,大学本科,省会城市市区,非农业户口,10698942,1,0,8,3钻
c06137,41411,,0,0,30,0,0,1226,30,40.86666667,0,50023878,自用闲置转让,51,370000,山东省,370100,济南市,370102,历下区,100841,济南市区,2,3870,8.261009786,1355,7.211556733,208,5.33753808,5,1.609437912,5,,1,,,,1,,,,,,,,上学,,上学,,不是主要收入来源,女,未婚,18-22岁,大学本科,省会城市市区,非农业户口,364926980,\N,0,-1,信用得分=0
c06138,39674,20,0,30,30,0,0,523,30,17.43333333,0,50008090,3C数码配件,18,130000,河北省,130500,邢台市,130502,桥东区,101975,邢台市区,4,187,5.231108617,84,4.430816799,2093.52,7.646602139,10,2.302585093,6,,1,,,,1,1,1,,2,2,,,,打工,受雇于企业（包括个体户）,,不是主要收入来源,男,未婚,23-25岁,高中/中专/职高,地级市/县级市市区,非农业户口,66445182,\N,0,3,3星级
c06139,40027,20,0,30,30,30,30,2855,30,95.16666667,0,16,女装/女士精品,111,320000,江苏省,320400,常州市,320411,新北区,100255,常州市区,3,15147,9.625557772,7783,8.959697147,15268.01,9.633515069,194,5.267858159,133,,1,,,,1,1,,,48,,,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是主要收入来源,女,未婚,23-25岁,大学本科,省会城市市区,非农业户口,183099459,1,0,8,3钻
c06140,40027,20,0,30,30,30,0,7013,30,233.7666667,0,30,男装,214,110000,北京,110100,北京市,110106,丰台区,100180,北京市区,1,3443,8.144098463,1767,7.477038472,7169.7,8.877619092,97,4.574710979,71,2,2,2,2,80,,1,2,1,18,10,3,2500,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,男,已婚,26-30岁,高中/中专/职高,地级市/县级市市区,非农业户口,168659149,1,0,7,2钻
c06141,39163,,0,30,5,30,0,2280,30,76,0,50016348,清洁/卫浴/收纳/整理用具,76,110000,北京,110100,北京市,110112,通州区,100180,北京市区,1,1572,7.360103973,1126,7.026426809,2922.65,7.980246018,24,3.17805383,17,,2,,,,2,1,,,,,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,31-35岁,大学本科,直辖市市区,非农业户口,58066442,4,0,8,3钻
c06142,39660,,0,30,30,30,30,8071,30,269.0333333,0,50008165,童装/童鞋/亲子装,90,330000,浙江省,330200,宁波市,330206,北仑区,101310,宁波市区,2,1096,6.999422468,452,6.11368218,276.9,5.62365643,7,1.945910149,6,1,1,1,1,50,,1,,,8,,,,受雇于企业（包括个体户）,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,26-30岁,大专,县城市区,非农业户口,112769737,\N,0,5,5星级
c06143,40685,,0,30,0,0,0,17057,30,568.5666667,0,50004958,移动/联通/电信充值中心,570,510000,四川省,510100,成都市,510104,锦江区,100282,成都市区,2,84,4.430816799,57,4.043051268,438.7,6.083815808,16,2.772588722,13,,1,,,,1,1,,,4,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,女,其他,41-50岁,大学本科,省会城市市区,非农业户口,266992997,1,0,6,1钻
