from,to,time
Peak Capital,麦考林(麦网),2000
KKR,ChinaRen,2000
InterPylon,3721,2000
Integrity Partners,百度,2000
Integrity Partners,百度,2000
IDG资本,远光软件,2000
IDG资本,游龙科技,2000
IDG资本,益生康健,2000
IDG资本,雅宝竞价交易网,2000
IDG资本,携程旅行网,2000
IDG资本,携程旅行网,2000
IDG资本,香雪制药,2000
IDG资本,腾讯,2000
IDG资本,速达软件,2000
IDG资本,鲁班,2000
IDG资本,连宇通信,2000
IDG资本,连宇通信,2000
IDG资本,快步易捷,2000
IDG资本,化工易贸网,2000
IDG资本,弘成教育 (中华学习网),2000
IDG资本,好耶广告网络,2000
IDG资本,国创科技,2000
IDG资本,当当网,2000
IDG资本,百度,2000
IDG资本,8848,2000
Cornestone Capital,传述,2000
C,3721,2000
A&A Dragon,书城网路书店,2000
紫光创新,紫光华宇,2001
珠海清华科技园创投,拓邦电子,2001
中国高新技术产业投资,巨龙科教,2001
中国风险投资,东江环保,2001
中创投,凯门,2001
智基创投,掌上灵通,2001
智基创投,英斯克,2001
镇江创投,奥雷光电,2001
浙科投资,传化股份,2001
浙大创投,浙大网新,2001
招商局中国基金,巨田投资,2001
招商局富鑫,中芯国际,2001
长沙高新,山河智能,2001
长安私人资本,中炬高新,2001
张江高科,中芯国际,2001
张江高科,嘉事堂,2001
张江创投,微创医疗,2001
云月投资,捷银,2001
涌金投资,北青传媒,2001
涌铧投资,威视股份,2001
永威投资,中芯国际,2001
盈浩投资,赛格导航,2001
盈富泰克,新傲,2001
英特尔投资,中正认证,2001
英特尔投资,长天科技,2001
英特尔投资,凌讯科技,2001
英特尔投资,量子无线,2001
英特尔投资,科大讯飞,2001
英特尔投资,凯门,2001
英联,厦门进雄,2001
扬州格林柯尔,科龙,2001
亚商资本,卫士通,2001
旭扬创投,凯门,2001
新加坡政府投资,量子无线,2001
祥峰集团,中芯国际,2001
祥峰集团,掌上灵通,2001
祥峰集团,微芯生物,2001
祥峰集团,凯门,2001
湘投高创投,湘云生物,2001
湘投高创投,博云,2001
武汉光谷,三特索道,2001
梧桐投资,光桥科技,2001
梧桐投资,帆宣,2001
无锡高新投,尚德电力,2001
葳尔资本,重庆百货大楼,2001
同创伟业,轴研科技,2001
同创伟业,中核高通,2001
通联资本,海利得,2001
天津创投,南大强芯,2001
泰达,微芯生物,2001
松山湖创投,科陆电子,2001
松禾资本,同洲电子,2001
松禾资本,键桥通讯,2001
松禾资本,戈德利邦,2001
首创科技公司,中关村百校信息园,2001
世纪方舟,天王兴业,2001
世纪方舟,时代出版（原科大创新）,2001
世纪方舟,传化股份,2001
世纪方舟,安徽丰原生物化学公司,2001
盛基创投,宝莱特,2001
深圳高新投,同洲电子,2001
深圳高新投,键桥通讯,2001
深圳创新投,中芯国际,2001
深圳创新投,中材,2001
深圳创新投,同洲电子,2001
深圳创新投,深圳雅图,2001
